[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/WP/TestsErrorHandler.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/WP/tests_template.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/WP/TestsExecuter.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/MessageCustomizer.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/TestInterface.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Tests/MessageCustomizerItem.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Autoloader.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/.htaccess >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Bootstrap.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescValidation.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/DescriptorInterface.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescGeneric.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescSecurity.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescController.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescEngines.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescReplace.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescPlugins.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescUsers.php >>> /home/dn072025/dynex.com.ua/www
